,ASTM_Designation_preferred,ASTM_Designation_applicable
W,A992,"[""A36"", ""A529 Gr. 50"", ""A529 Gr. 55"", ""A709 36"", ""A1043 36"", ""A1043 50"", ""A572 Gr. 42"", ""A572 Gr. 50"", ""A572 Gr. 55"", ""A572 Gr. 60"", ""A572 Gr. 65"", ""A709 50"", ""A709 50S"", ""A709 50W"", ""A913 50"", ""A913 60"", ""A913 65"", ""A913 70"", ""A588""]"
M,A36,"[""A529 Gr. 50"", ""A529 Gr. 55"", ""A709 36"", ""A572 Gr. 42"", ""A572 Gr. 50"", ""A572 Gr. 55"", ""A572 Gr. 60"", ""A572 Gr. 65"", ""A709 50"", ""A709 50S"", ""A709 50W"", ""A913 50"", ""A913 60"", ""A913 65"", ""A913 70"", ""A992"", ""A588""]"
S,A36,"[""A529 Gr. 50"", ""A529 Gr. 55"", ""A709 36"", ""A572 Gr. 42"", ""A572 Gr. 50"", ""A572 Gr. 55"", ""A572 Gr. 60"", ""A572 Gr. 65"", ""A709 50"", ""A709 50S"", ""A709 50W"", ""A913 50"", ""A913 60"", ""A913 65"", ""A913 70"", ""A992"", ""A588""]"
HP,A572 Gr. 50,"[""A36"", ""A529 Gr. 50"", ""A529 Gr. 55"", ""A709 36"", ""A572 Gr. 42"", ""A572 Gr. 55"", ""A572 Gr. 60"", ""A572 Gr. 65"", ""A709 50"", ""A709 50S"", ""A709 50W"", ""A913 50"", ""A913 60"", ""A913 65"", ""A913 70"", ""A992"", ""A588""]"
C,A36,"[""A529 Gr. 50"", ""A529 Gr. 55"", ""A709 36"", ""A572 Gr. 42"", ""A572 Gr. 50"", ""A572 Gr. 55"", ""A572 Gr. 60"", ""A572 Gr. 65"", ""A709 50"", ""A709 50S"", ""A709 50W"", ""A913 50"", ""A913 60"", ""A913 65"", ""A913 70"", ""A992"", ""A588""]"
MC,A36,"[""A529 Gr. 50"", ""A529 Gr. 55"", ""A709 36"", ""A572 Gr. 42"", ""A572 Gr. 50"", ""A572 Gr. 55"", ""A572 Gr. 60"", ""A572 Gr. 65"", ""A709 50"", ""A709 50S"", ""A709 50W"", ""A913 50"", ""A913 60"", ""A913 65"", ""A913 70"", ""A992"", ""A588""]"
L,A36,"[""A529 Gr. 50"", ""A529 Gr. 55"", ""A709 36"", ""A572 Gr. 42"", ""A572 Gr. 50"", ""A572 Gr. 55"", ""A572 Gr. 60"", ""A572 Gr. 65"", ""A709 50"", ""A709 50S"", ""A709 50W"", ""A913 50"", ""A913 60"", ""A913 65"", ""A913 70"", ""A992"", ""A588""]"
HSS Rect.,A500 Gr. C Rect.,"[""A500 Gr. B Rect."", ""A501 Gr. A"", ""A501 Gr. B"", ""A1085 Gr. A"", ""A618 Gr. Ia, Ib & II"", ""A618 Gr. III"", ""A1065 Gr. 50"", ""A847"", ""A1065 Gr. 50W""]"
HSS Round,A500 Gr. C Round,"[""A500 Gr. B Round"", ""A501 Gr. A"", ""A501 Gr. B"", ""A1085 Gr. A"", ""A618 Gr. Ia, Ib & II"", ""A618 Gr. III"", ""A847""]"
PIPE,A53 Gr. B,[]
WT,A992,"[""A36"", ""A529 Gr. 50"", ""A529 Gr. 55"", ""A709 36"", ""A1043 36"", ""A1043 50"", ""A572 Gr. 42"", ""A572 Gr. 50"", ""A572 Gr. 55"", ""A572 Gr. 60"", ""A572 Gr. 65"", ""A709 50"", ""A709 50S"", ""A709 50W"", ""A913 50"", ""A913 60"", ""A913 65"", ""A913 70"", ""A588""]"
MT,A36,"[""A529 Gr. 50"", ""A529 Gr. 55"", ""A709 36"", ""A572 Gr. 42"", ""A572 Gr. 50"", ""A572 Gr. 55"", ""A572 Gr. 60"", ""A572 Gr. 65"", ""A709 50"", ""A709 50S"", ""A709 50W"", ""A913 50"", ""A913 60"", ""A913 65"", ""A913 70"", ""A992"", ""A588""]"
ST,A36,"[""A529 Gr. 50"", ""A529 Gr. 55"", ""A709 36"", ""A572 Gr. 42"", ""A572 Gr. 50"", ""A572 Gr. 55"", ""A572 Gr. 60"", ""A572 Gr. 65"", ""A709 50"", ""A709 50S"", ""A709 50W"", ""A913 50"", ""A913 60"", ""A913 65"", ""A913 70"", ""A992"", ""A588""]"
2L,A36,"[""A529 Gr. 50"", ""A529 Gr. 55"", ""A709 36"", ""A572 Gr. 42"", ""A572 Gr. 50"", ""A572 Gr. 55"", ""A572 Gr. 60"", ""A572 Gr. 65"", ""A709 50"", ""A709 50S"", ""A709 50W"", ""A913 50"", ""A913 60"", ""A913 65"", ""A913 70"", ""A992"", ""A588""]"
